authfull,inst_name,cntry,np6023,firstyr,lastyr,rank (ns),nc9623 (ns),h23 (ns),hm23 (ns),nps (ns),ncs (ns),cpsf (ns),ncsf (ns),npsfl (ns),ncsfl (ns),c (ns),npciting (ns),cprat (ns),np6023 cited9623 (ns),self%,rank,nc9623,h23,hm23,nps,ncs,cpsf,ncsf,npsfl,ncsfl,c,npciting,cprat,np6023 cited9623,np6023_rw,nc9623_to_rw,nc9623_rw,sm-subfield-1,sm-subfield-1-frac,sm-subfield-2,sm-subfield-2-frac,sm-field,sm-field-frac,rank sm-subfield-1,rank sm-subfield-1 (ns),sm-subfield-1 count
"Desiraju, Gautam R.",Indian Institute of Science,ind,427,1977,2024,314,"43,051",88,58.5002,77,"16,732",116,"20,387",379,"38,112",4.8465,"25,820",1.6674,401,8.33%,317,"46,965",95,61.8014,77,"17,194",116,"21,169",379,"41,157",4.8665,"26,664",1.7614,404,0,0,83,Inorganic & Nuclear Chemistry,0.3566,Organic Chemistry,0.2795,Chemistry,0.8530,3,3,"75,463"
"Gupta, Vinod K.",DIT University,ind,923,1978,2024,324,"89,712",166,70.7206,13,374,335,"44,540",591,"65,068",4.8401,"46,962",1.9103,864,12.11%,292,"102,069",182,74.8241,13,424,335,"50,192",591,"73,485",4.8828,"49,105",2.0786,880,1,72,81,Chemical Physics,0.2115,Analytical Chemistry,0.1844,Chemistry,0.2983,10,12,"106,831"
"Rao, C. N.R.",Jawaharlal Nehru Centre for Advanced Scientific Research,ind,"1,760",1956,2024,385,"83,515",137,76.1183,78,635,337,"21,651","1,649","77,945",4.8164,"66,535",1.2552,"1,508",9.43%,362,"92,208",146,80.5544,78,694,337,"23,135","1,649","86,028",4.8430,"68,710",1.3420,"1,530",0,0,56,Applied Physics,0.1633,Chemical Physics,0.1559,Physics & Astronomy,0.4101,16,17,"304,738"
"Lamport, Leslie",Computer scientist at Microsoft Research,ind,135,1970,2024,"1,314","25,887",49,38.6083,81,"15,966",96,"20,269",119,"24,993",4.5867,"20,390",1.2696,121,0.83%,"1,676","26,103",49,38.6083,81,"16,069",96,"20,388",119,"25,177",4.5693,"20,459",1.2759,121,0,0,3,Artificial Intelligence & Image Processing,0.3209,Computation Theory & Mathematics,0.2388,Information & Communication Technologies,0.9627,45,38,"399,064"
"Sen, Ashoke","Tata Institute of Fundamental Research, Mumbai",ind,272,1981,2024,"1,590","15,525",66,58.2833,150,"10,384",162,"10,997",249,"14,465",4.5549,"7,790",1.9929,261,8.97%,"1,625","17,054",70,60.6500,150,"11,003",162,"11,719",249,"15,777",4.5754,"8,008",2.1296,262,0,0,2,Nuclear & Particle Physics,0.9301,General Physics,0.0257,Physics & Astronomy,0.9890,15,14,"151,105"
"Pandey, Ashok",Indian Institute of Toxicology Research,ind,"1,074",1979,2024,"1,596","45,470",99,51.9490,16,"1,607",88,"7,542",540,"29,603",4.5542,"34,889",1.3033,885,8.88%,"1,540","49,899",104,55.6973,16,"1,788",88,"8,239",540,"31,925",4.5836,"36,365",1.3722,896,42,"5,262",112,Biotechnology,0.3578,Environmental Sciences,0.0928,Enabling & Strategic Technologies,0.6290,4,5,"62,673"
"Ali, Imran",Jamia Millia Islamia,ind,420,1986,2024,"2,426","25,700",81,40.7655,10,"2,256",224,"13,528",359,"19,271",4.4690,"17,863",1.4387,382,12.83%,"2,122","29,484",94,43.5500,10,"2,398",224,"15,719",359,"22,450",4.5264,"18,727",1.5744,393,0,0,12,Analytical Chemistry,0.3301,Organic Chemistry,0.1124,Chemistry,0.5957,9,9,"122,576"
"Garg, Harish",Thapar Institute of Engineering & Technology,ind,462,1978,2024,"2,595","14,447",63,52.9667,79,"5,598",227,"9,995",322,"13,030",4.4553,"6,446",2.2412,412,21.70%,"1,668","18,452",75,62.8833,79,"6,850",227,"12,529",322,"16,544",4.5701,"7,000",2.6360,426,0,0,54,Artificial Intelligence & Image Processing,0.4945,Applied Mathematics,0.1182,Information & Communication Technologies,0.5470,43,67,"399,064"
"Padmanabhan, T.",Inter-University Centre for Astronomy and Astrophysics India,ind,339,1977,2022,"3,358","14,302",48,42.2500,174,"8,434",211,"9,853",326,"13,859",4.4001,"9,145",1.5639,277,15.40%,"2,408","16,906",60,49.8333,174,"9,721",211,"11,372",326,"16,400",4.4998,"9,443",1.7903,287,0,0,1,Nuclear & Particle Physics,0.6154,Astronomy & Astrophysics,0.1420,Physics & Astronomy,0.9112,25,42,"151,105"
"Thomas, J. M.",Karunya Institute of Technology and Sciences,ind,741,1965,2023,"3,576","23,345",77,45.0000,85,"1,984",190,"7,059",471,"14,449",4.3878,"16,634",1.4035,650,17.37%,"2,885","28,254",87,50.1322,85,"2,272",190,"8,303",471,"17,190",4.4615,"17,667",1.5993,659,0,0,8,Organic Chemistry,0.2233,Chemical Physics,0.2097,Chemistry,0.5074,82,92,"170,049"
"Gogate, Parag R.",Institute of Chemical Technology,ind,443,1999,2024,"3,966","21,387",78,50.2611,17,"1,105",58,"7,104",295,"16,049",4.3660,"13,460",1.5889,408,12.95%,"3,733","24,569",85,52.7111,17,"1,241",58,"8,013",295,"18,180",4.4085,"14,040",1.7499,417,0,0,19,Chemical Engineering,0.4041,Organic Chemistry,0.3002,Engineering,0.4560,13,15,"79,314"
"Siddique, Rafat",Thapar Institute of Engineering & Technology,ind,191,1994,2024,"4,228","14,844",68,45.3040,24,"2,682",71,"7,666",138,"12,393",4.3532,"11,048",1.3436,173,3.11%,"4,894","15,320",70,46.7540,24,"2,726",71,"7,799",138,"12,753",4.3513,"11,288",1.3572,176,0,0,29,Building & Construction,0.5561,Environmental Sciences,0.2032,Built Environment & Design,0.5936,8,7,"43,481"
"Venkata Rao, Ravipudi",S. V. National Institute of Technology,ind,208,1998,2024,"4,534","14,989",54,36.6345,39,"2,978",154,"13,689",189,"14,433",4.3386,"9,684",1.5478,179,6.35%,"4,791","16,005",58,37.8012,39,"3,129",154,"14,517",189,"15,346",4.3560,"9,957",1.6074,181,0,0,7,Mechanical Engineering & Transports,0.1490,Industrial Engineering & Automation,0.1346,Engineering,0.5865,35,27,"143,311"
"Singh, Bhim",Indian Institute of Technology Delhi,ind,"2,608",1979,2024,"5,649","33,491",75,48.8095,11,118,509,"13,573","1,852","24,766",4.2883,"21,004",1.5945,"2,006",20.15%,"4,264","41,945",83,55.6429,11,148,509,"16,764","1,852","31,010",4.3806,"23,463",1.7877,"2,241",0,0,11,Electrical & Electronic Engineering,0.6483,Energy,0.2083,Engineering,0.6594,9,9,"119,204"
